Time	AcqTime	AMB_Humidity	AMB_Pressure	AMB_Temperature	GPS_Altitude	GPS_GroundSpeed	GPS_Latitude	GPS_Longitude	GPS_ModeIndicator	GPS_Quality	GPS_Satellites	GPS_Separation	GPS_TrueCourse	GPS_UTCTime	OBD_Absolute_load_value_(PID_67)	OBD_Accelerator_Pedal_Position_D_(PID_73)	OBD_Calculated_engine_load_value_(PID_4)	OBD_Engine_Coolant_Temperature_(PID_5)	OBD_Vehicle_Speed_(PID_13)	OBD_Engine_RPM_(PID_12)
23500	725,495	17,3747	973,9939	16,1304	375,2	14,1	47,0692	15,4087	0	2	8	43,8	85,2	112046	28,2384	27,0549	18,4334	37	14	1444,5
24000	725,995	17,3747	974,4739	16,1592	375,2	14,1	47,0692	15,4087	0	2	7	43,8	85,2	112047	28,2384	27,0549	18,8256	37	14	1445
24500	726,495	17,3747	973,9939	16,1304	375,2	14,2	47,0692	15,4087	0	2	7	43,8	85,8	112047	30,1994	28,2312	20,0022	37	14	1445
25000	726,995	17,3747	974,4739	16,1304	375,1	14,1	47,0692	15,4088	0	2	6	43,8	86,1	112048	31,376	28,2312	20,0022	37	14	1453,5
25500	727,495	17,3747	974,2339	16,1304	375,1	14,1	47,0692	15,4088	0	2	6	43,8	86,1	112048	31,376	28,2312	20,0022	37	14	1461,5
26000	727,995	17,3987	974,4739	16,188	375,1	14,1	47,0692	15,4088	0	2	7	43,8	86,1	112049	30,5916	28,2312	18,8256	37	14	1502
26500	728,495	17,3267	974,2339	16,0728	375,1	14,2	47,0692	15,4088	0	2	7	43,8	86	112049	30,5916	28,2312	18,8256	37	15	1542,5
27000	728,995	17,3267	973,9943	16,0728	375,0002	14,9984	47,0692	15,4089	0	2	7	43,8	85,4012	112049,9981	30,5916	28,2312	18,8256	37	15	1542,5
27500	729,495	17,3027	974,2339	16,0728	375	15	47,0692	15,4089	0	2	7	43,8	85,4	112050	30,1994	28,6233	18,0412	37	15	1573
28000	729,995	17,3267	974,4739	16,1017	374,9	15,6	47,0692	15,4089	0	2	7	43,8	85,1	112051	30,9838	28,6233	18,8256	37	15	1585,5
28500	730,495	17,3267	974,2343	16,1304	374,9	15,6	47,0692	15,4089	0	2	7	43,8	85,1	112051	30,9838	28,6233	18,0427	37	15	1624,923
29000	730,995	17,3267	974,7139	16,0728	374,8	15,5	47,0692	15,409	0	2	6	43,8	86,3	112052	30,9838	28,6233	15,688	37	16	1630
29500	731,495	17,3267	973,9939	16,1017	374,8	15,5	47,0692	15,409	0	2	6	43,8	86,3	112052	20,7866	14,5077	15,688	37	16	1630
30000	731,995	17,3267	974,4739	16,1017	374,8	15,5	47,0692	15,4091	0	2	8	43,8	86,3	112053	18,4334	17,6445	13,3348	37	15	1251,5
30500	732,495	17,3267	974,2339	16,1017	374,8	15,6	47,0692	15,4091	0	2	8	43,8	86,9	112053	22,3554	18,0366	18,0412	37	15	963,5
31000	732,995	17,3267	973,9939	16,0728	374,8	15,6	47,0692	15,4091	0	2	8	43,8	86,9	112054	22,3554	18,0366	19,2178	37	15	974,5
31500	733,495	17,3267	974,2329	16,0442	374,8	15,2016	47,0692	15,4091	0	2	8	43,8	86,2028	112054	21,9648	18,0366	18,8272	37	15	972,508
32000	733,995	17,3027	974,2339	16,044	374,8	15,2	47,0692	15,4092	0	2	7	43,8	85,1	112055	22,7476	18,8208	18,8256	38	14	959,5
32500	734,495	17,3507	973,7539	16,1017	374,8	15,2	47,0692	15,4092	0	2	7	43,8	85,1	112055	22,7476	19,2129	19,2178	38	15	913,5
33000	734,995	17,3267	974,2339	16,0729	375	14,8	47,0692	15,4092	0	2	7	43,8	84,3	112056	24,3225	19,6027	20,7889	38	13,998	863,4492
33500	735,495	17,3266	974,2339	16,1016	375	14,7982	47,0692	15,4092	0	2	7	43,8	84,2969	112056,002	27,4563	18,421	21,9678	38	12,998	837,5996
34000	735,995	17,3027	974,2343	16,0728	375	13,9	47,0692	15,4093	0	2	7	43,8	82,7	112057	28,6229	14,5077	24,3103	38	11,998	888,5361
34500	736,495	17,3267	974,4734	16,0728	375,0004	13,9	47,0692	15,4093	0	2	7	43,8	82,7	112057,002	24,7094	14,5077	21,1788	38	11	906,9541
35000	736,995	17,3267	974,2343	16,0728	375,2	13,8973	47,0692	15,4093	0	2	7	43,8	82,6998	112058	25,1077	14,5077	21,1842	38	11	883,425
35500	737,495	17,3267	974,4739	16,0728	375,2	12,5	47,0692	15,4093	0	2	7	43,8	82,6	112058	28,6306	14,5077	23,9242	38	11	845
36000	737,995	17,2547	973,9939	16,0728	375,2	12,5	47,0692	15,4094	0	2	7	43,8	82,6	112059	28,6306	14,5077	24,3164	38	10	841,5
36500	738,495	17,2547	974,2339	16,0728	375,2	11	47,0692	15,4094	0	2	7	43,8	83,9	112059	27,8462	14,5077	23,532	38	9	843
37000	738,995	17,2547	974,4739	16,1017	375,2	11	47,0692	15,4094	0	2	7	43,8	83,9	112100	27,8462	14,5077	23,532	39	6	838
37500	739,495	17,2547	973,9939	16,1017	375,2	8,8	47,0692	15,4094	0	2	7	43,8	92	112100	27,0618	14,5077	23,1398	39	4	836
38000	739,995	17,2547	973,9939	16,1017	375	8,8	47,0692	15,4094	0	2	8	43,8	92	112101	37,6512	17,6445	34,5136	39	4	972,5
38500	740,495	17,2547	974,4739	16,1017	375	4,6	47,0692	15,4094	0	2	8	43,8	92	112101	43,142	21,1734	23,9242	39	5	1040,5
39000	740,995	17,2307	974,2339	16,1017	374,9	4,6	47,0692	15,4094	0	2	7	43,8	92	112102	52,5548	22,3497	43,9264	39	6	1240
39500	741,495	17,2307	973,9939	16,0728	374,9	4,7	47,0692	15,4094	0	2	7	43,8	92	112102	70,2038	20,7813	52,5548	39	9	1179,5
40000	741,995	17,2547	973,9939	16,1017	374,9	7,8	47,0692	15,4095	0	2	7	43,8	89,4	112103	78,0478	20,7813	55,6924	39	10	1152,5
40500	742,495	17,2547	974,4739	16,0728	374,9	7,8	47,0692	15,4095	0	2	7	43,8	89,4	112103	49,4172	23,526	34,5136	39	11	1250
41000	742,995	17,2547	973,9939	16,0728	375	7,8	47,0693	15,4095	0	2	7	43,8	89,4	112104	52,947	29,4075	35,298	39	12	1352,5
41500	743,495	17,2307	974,2339	16,044	375	10,2	47,0693	15,4095	0	2	7	43,8	85,3	112104	61,9676	34,8969	39,22	39	13	1472,5
42000	743,995	17,2547	973,9939	16,0728	375	11,3	47,0693	15,4095	0	2	7	43,8	78,3	112105	58,4378	34,8969	33,7292	39	16	1664
42500	744,495	17,2547	974,2339	16,0728	375	11,3	47,0693	15,4095	0	2	7	43,8	78,3	112105	57,6534	34,8969	30,1994	39	18	1871
43000	744,995	17,2547	974,2339	16,0728	375,3	11,3	47,0693	15,4095	0	2	8	43,8	78,3	112106	54,908	34,5048	27,454	40	20	2001,5
43500	745,495	17,2307	973,9943	16,0441	375,3	12,7971	47,0693	15,4095	0	2	8	43,8	73,8088	112106	50,9936	34,5048	26,6711	40	20	2111,7846
44000	745,995	17,2547	974,2339	16,044	375,6	20,9	47,0694	15,4095	0	2	7	43,8	66,7	112107	24,7086	28,6233	22,3554	40	22	2262,5
44500	746,495	17,2547	974,2339	16,1017	375,6	20,9	47,0694	15,4095	0	2	7	43,8	66,7	112107	16,8646	14,5077	9,4128	40	22	1850
45000	746,995	17,2547	974,2339	16,0728	375,7	23,5	47,0694	15,4095	0	2	6	43,8	357,5	112108	22,7476	14,5077	20,7866	40	21	1247,5
45500	747,495	17,2067	973,9939	16,0152	375,7	23,5	47,0694	15,4095	0	2	6	43,8	357,5	112108	18,0412	14,5077	13,3348	40	21	1189,5
46000	747,995	17,2307	974,4739	16,0152	375,9	21,5	47,0695	15,4095	0	2	6	43,8	354,5	112109	19,61	14,5077	15,688	40	21	1110
46500	748,495	17,2307	973,9939	16,0152	375,9	21,5	47,0695	15,4095	0	2	6	43,8	354,5	112109	19,61	14,5077	16,0802	40	20	1048,5
47000	748,995	17,2307	973,9939	16,0152	376,1	21,5	47,0695	15,4095	0	2	6	43,8	351,4	112110	20,3944	14,5077	17,2568	40	20	1003
47500	749,495	17,2067	974,2339	16,0152	376,1	21,5	47,0695	15,4095	0	2	6	43,8	351,4	112110	22,3554	14,5077	18,4334	40	19	921
48000	749,995	17,2067	973,9939	15,9864	376,3	18,6	47,0696	15,4095	0	2	6	43,8	348,6	112111	24,3164	14,5077	20,7866	40	18	884
48500	750,495	17,2307	974,2339	16,0152	376,3	18,6	47,0696	15,4095	0	2	6	43,8	348,6	112111	24,3164	14,5077	21,1788	40	17	885
49000	750,995	17,2307	974,2339	16,0152	376,8	18	47,0696	15,4095	0	2	6	43,8	348,1	112112	25,1008	14,5077	21,1788	40	15	879
49500	751,495	17,2067	973,9939	16,0152	376,8	18	47,0696	15,4095	0	2	6	43,8	348,1	112112	25,493	14,5077	21,571	40	13	867
50000	751,995	17,1587	974,2339	16,0152	377	18	47,0697	15,4094	0	2	6	43,8	348,1	112113	26,2774	14,5077	22,3554	40	11	857,5
50500	752,495	17,1347	973,9939	15,9864	377	14,2	47,0697	15,4094	0	2	6	43,8	345,3	112113	25,1008	14,5077	21,571	40	9	854
51000	752,995	17,1827	974,4739	16,0152	377,4	14,2	47,0697	15,4094	0	2	7	43,8	345,3	112114	26,2774	14,5077	22,7476	40	7	831
51500	753,495	17,1587	974,4739	16,0152	377,4	10,6	47,0697	15,4094	0	2	7	43,8	345	112114	26,6696	14,5077	22,3554	40	5	835
52000	753,995	17,1587	973,9939	16,0152	378	10,6	47,0697	15,4094	0	2	8	43,8	345	112115	28,6306	14,5077	24,3164	40	2	843
52500	754,495	17,1587	974,4739	16,0152	378	6,1	47,0697	15,4094	0	2	8	43,8	339,3	112115	27,0618	14,5077	23,1398	41	1	864,5
53000	754,995	17,1827	974,2339	15,9864	378,3	6,1	47,0697	15,4094	0	2	7	43,8	339,3	112116	27,0618	14,5077	23,1398	41	0	854,5
53500	755,495	17,1587	974,2339	16,0152	378,3	0,2	47,0697	15,4094	0	2	7	43,8	339,3	112116	27,454	14,5077	23,1398	41	0	848,5
54000	755,995	17,1587	973,9939	16,0152	378,6	0,1	47,0697	15,4094	0	2	7	43,8	339,3	112117	27,0618	14,5077	23,1398	41	0	850
54500	756,495	17,1587	974,2339	15,9864	378,6	0,1	47,0697	15,4094	0	2	7	43,8	339,3	112117	26,6696	14,5077	22,7476	41	0	858
55000	756,995	17,1587	974,2339	15,9864	378,4	0	47,0697	15,4094	0	2	7	43,8	339,3	112118	27,0618	14,5077	23,1398	41	0	837,5
55500	757,495	17,1347	974,2339	15,9864	378,4	0	47,0697	15,4094	0	2	7	43,8	339,3	112118	26,6696	14,5077	21,9632	41	0	847,5
56000	757,995	17,1347	974,4739	15,9864	378,6	0	47,0697	15,4094	0	2	7	43,8	339,3	112119	25,8852	14,5077	21,571	41	0	837
56500	758,495	17,1586	974,2343	15,9864	378,6	0,0998	47,0697	15,4094	0	2	7	43,8	339,3	112119	25,1023	14,5077	21,1796	41	0	829,0156
57000	758,995	17,1587	974,4739	15,9864	378,5	0	47,0697	15,4094	0	2	7	43,8	339,3	112120	25,8852	14,5077	21,9632	41	0	816,5
57500	759,495	17,1347	974,2339	15,9864	378,5	0	47,0697	15,4094	0	2	7	43,8	339,3	112120	25,8852	14,5077	21,9632	41	0	821
58000	759,995	17,1587	973,9939	15,9864	378,7	0	47,0697	15,4094	0	2	7	43,8	339,3	112121	25,8852	14,5077	21,9632	41	0	809
58500	760,495	17,1347	974,2339	15,9576	378,7	0	47,0697	15,4094	0	2	7	43,8	339,3	112121	26,2774	14,5077	21,9632	42	0	806,5
59000	760,995	17,1586	973,9943	15,9863	378,8	0	47,0697	15,4094	0	2	7	43,8	339,3	112122	26,2759	14,5077	22,3539	42	0	802,5019
59500	761,495	17,1107	974,2339	15,9288	378,8	0	47,0697	15,4094	0	2	7	43,8	339,3	112122	25,493	14,5077	21,571	42	0	803,5
60000	761,995	17,1107	974,4739	15,9576	378,9	0,1	47,0697	15,4094	0	2	7	43,8	339,3	112123	25,8852	14,5077	21,9632	42	0	797
60500	762,495	17,0867	974,2339	15,9576	378,9	0,1	47,0697	15,4094	0	2	7	43,8	339,3	112123	25,8852	14,5077	21,9632	42	0	784
61000	762,995	17,1107	973,7539	15,9576	379,1	0,1	47,0697	15,4094	0	2	8	43,8	339,3	112124	25,8852	14,5077	21,9632	42	0	791,5
61500	763,495	17,0867	974,4725	15,9289	379,1	0,0002	47,0697	15,4094	0	2	8	43,8	339,3	112124	25,4938	14,5077	21,5718	42	0	789,5039
62000	763,995	17,0867	974,4739	15,9576	379,4	0	47,0697	15,4094	0	2	8	43,8	339,3	112125	26,2774	14,5077	21,9632	42	0	784
62500	764,495	17,0867	973,9939	15,9576	379,4	0	47,0697	15,4094	0	2	8	43,8	339,3	112125	25,8852	14,5077	21,9632	42	0	790,5
63000	764,995	17,1107	974,2339	15,9576	379,7	0	47,0697	15,4094	0	2	8	43,8	339,3	112126	25,8852	14,5077	21,9632	42	0	793
63500	765,495	17,1107	974,4734	15,9576	379,7006	0	47,0697	15,4094	0	2	8	43,8	339,3	112126,0019	24,321	14,5077	20,7897	42	0	793,9757
64000	765,995	17,1346	974,2343	15,9576	379,9994	0	47,0697	15,4094	0	2	8	43,8	339,3	112126,9981	26,665	14,5077	22,3523	42	0	781,5243
64500	766,495	17,1347	973,9939	15,9576	380,0006	0	47,0697	15,4094	0	2	8	43,8	339,3	112127,0019	25,886	14,5077	21,964	42	0	793,9903
65000	766,995	17,1587	973,9939	15,9576	380,3	0	47,0697	15,4093	0	2	8	43,8	339,3	112128	26,2774	14,5077	22,3554	42	0	789
65500	767,495	17,1347	974,2339	15,9576	380,3	0	47,0697	15,4093	0	2	8	43,8	339,3	112128	25,1008	14,5077	21,9632	42	0	783,5
66000	767,995	17,1347	974,4739	15,9288	380,7	0	47,0697	15,4093	0	2	8	43,8	339,3	112129	25,8852	14,5077	21,9632	42	0	787
66500	768,495	17,1347	974,2339	15,9576	380,7	0	47,0697	15,4093	0	2	8	43,8	339,3	112129	26,2774	14,5077	22,3554	42	0	792
67000	768,995	17,1587	974,2339	15,9288	381	0	47,0697	15,4093	0	2	8	43,8	339,3	112130	25,8852	14,5077	21,9632	42	0	799
67500	769,495	17,1347	974,2339	15,9576	381	0	47,0697	15,4093	0	2	8	43,8	339,3	112130	25,8852	14,5077	21,9632	42	0	790,5
68000	769,995	17,1587	974,2339	15,9576	381,3	0	47,0697	15,4093	0	2	8	43,8	339,3	112131	26,2774	14,5077	21,9632	43	0	785
68500	770,495	17,1347	974,2339	15,8712	381,3	0	47,0697	15,4093	0	2	8	43,8	339,3	112131	25,8852	14,5077	21,9632	43	0	792,5
69000	770,995	17,1587	973,9939	15,8712	381,6	0	47,0697	15,4093	0	2	8	43,8	339,3	112132	26,6696	14,5077	22,3554	43	0	790,5
69500	771,495	17,1587	974,2339	15,8712	381,6	0	47,0697	15,4093	0	2	8	43,8	339,3	112132	25,8852	14,5077	21,9632	43	0	791,5
70000	771,995	17,1587	974,2339	15,9	381,9	0	47,0697	15,4093	0	2	8	43,8	339,3	112133	26,2774	14,5077	21,9632	43	0	778
70500	772,495	17,1347	974,4739	15,9	381,9	0	47,0697	15,4093	0	2	8	43,8	339,3	112133	26,2774	14,5077	21,9632	43	0	785,5
71000	772,995	17,1827	974,2339	15,9	382	0	47,0697	15,4093	0	2	8	43,8	339,3	112134	26,2774	14,5077	21,9632	43	0	795,5
71500	773,495	17,1587	974,2339	15,9	382	0	47,0697	15,4093	0	2	8	43,8	339,3	112134	25,8852	14,5077	21,9632	43	0	784
72000	773,995	17,1587	974,2339	15,8712	382,2	0	47,0697	15,4093	0	2	7	43,8	339,3	112135	26,2774	14,5077	22,3554	43	0	783
72500	774,495	17,1587	974,4739	15,9	382,2	0	47,0697	15,4093	0	2	7	43,8	339,3	112135	25,493	14,5077	21,571	43	0	792
73000	774,995	17,1587	974,2339	15,9	382,4	0	47,0697	15,4093	0	2	7	43,8	339,3	112136	25,493	14,5077	21,9632	43	0	786
73500	775,495	17,1587	973,9939	15,8424	382,4	0	47,0697	15,4093	0	2	7	43,8	339,3	112136	24,7086	14,5077	20,7866	43	0	789
74000	775,995	17,1347	973,9939	15,8424	382,6	0	47,0697	15,4093	0	2	6	43,8	339,3	112137	26,6696	14,5077	22,3554	43	0	782
74500	776,495	17,1587	974,2339	15,8712	382,6	0	47,0697	15,4093	0	2	6	43,8	339,3	112137	25,1008	14,5077	21,571	43	0	791,5
75000	776,995	17,1587	973,9939	15,8424	382,7	0	47,0697	15,4093	0	2	6	43,8	339,3	112138	26,2774	14,5077	21,9632	43	0	790
75500	777,495	17,1347	973,9939	15,8712	382,7	0	47,0697	15,4093	0	2	6	43,8	339,3	112138	26,2774	14,5077	21,1788	43	0	785
76000	777,995	17,1587	974,4739	15,8424	382,8	0	47,0697	15,4093	0	2	6	43,8	339,3	112139	26,2774	14,5077	22,3554	43	0	786,5
76500	778,495	17,1587	973,9939	15,8712	382,8	0	47,0697	15,4093	0	2	6	43,8	339,3	112139	26,2774	14,5077	21,9632	43	0	793
77000	778,995	17,1587	974,2339	15,8712	383	0	47,0697	15,4093	0	2	6	43,8	339,3	112140	26,2774	14,5077	22,3554	43	0	798,5
77500	779,495	17,1587	974,2339	15,8712	383	0	47,0697	15,4093	0	2	6	43,8	339,3	112140	25,493	14,5077	21,571	43	0	788
78000	779,995	17,2304	973,7558	15,8426	383,0996	0	47,0697	15,4093	0	2	6,996	43,8	339,3	112140,996	26,2743	14,5077	22,3523	43	0	787,004
78500	780,495	17,2307	974,2339	15,8712	383,1	0,1	47,0697	15,4093	0	2	7	43,8	339,3	112141	25,8852	14,5077	21,571	43	0	798
79000	780,995	17,2547	974,2339	15,8712	383,1	0,1	47,0697	15,4093	0	2	5	43,8	339,3	112142	25,1008	14,5077	21,571	43	0	795,5
79500	781,495	17,2067	974,4739	15,8424	383,1	0,1	47,0697	15,4093	0	2	5	43,8	339,3	112142	25,493	14,5077	21,571	43	0	779,5
80000	781,995	17,2307	974,2339	15,8424	383,2	0,1	47,0697	15,4093	0	2	6	43,8	339,3	112143	26,2774	14,5077	22,3554	43	0	780,5
80500	782,495	17,2067	973,9943	15,8712	383,2	0,1	47,0697	15,4093	0	2	6	43,8	339,3	112143	26,2774	14,5077	21,964	43	0	791,4786
81000	782,995	17,2547	974,2339	15,8712	383,3	0,1	47,0698	15,4093	0	2	5	43,8	339,3	112144	26,2774	14,5077	22,3554	43	0	787,5
81500	783,495	17,2307	974,2339	15,8712	383,3	0,1	47,0698	15,4093	0	2	5	43,8	339,3	112144	25,8852	14,5077	21,1788	43	0	791
82000	783,995	17,2067	973,9939	15,8712	383,3	0,1	47,0698	15,4093	0	2	7	43,8	339,3	112145	25,8852	14,5077	21,1788	43	0	782,5
82500	784,495	17,2547	974,2339	15,7848	383,3	0,1	47,0698	15,4093	0	2	7	43,8	339,3	112145	25,8852	14,5077	21,9632	43	0	788,5
83000	784,995	17,2307	974,2339	15,7848	383,3	0,1	47,0698	15,4093	0	2	5	43,8	339,3	112146	26,2774	14,5077	22,3554	43	0	792
83500	785,495	17,2307	973,9939	15,756	383,3	0,1	47,0698	15,4093	0	2	5	43,8	339,3	112146	25,493	14,5077	21,571	43	0	798,5
84000	785,995	17,2307	974,2339	15,7848	383,3	0,1	47,0698	15,4093	0	2	6	43,8	339,3	112147	25,8852	14,5077	21,9632	43	0	786
84500	786,495	17,2547	973,9939	15,7848	383,3	0,1	47,0698	15,4093	0	2	6	43,8	339,3	112147	25,493	14,5077	21,1788	43	0	794
85000	786,995	17,2547	974,4739	15,756	383,3	0,1	47,0698	15,4093	0	2	6	43,8	339,3	112148	26,2774	14,5077	21,571	43	0	791,5
